,Core_replaced,cores,thread
765,"6 Core (2P + 4E), 8 Threads",6 Core (2P + 4E), 8 Threads
766,"10 Cores (2P + 8E), 12 Threads",10 Cores (2P + 8E), 12 Threads
767,"6 Core, 12 Threads",6 Core, 12 Threads
768,"6 Core, 12 Threads",6 Core, 12 Threads
769,"4 Core, 8 Threads",4 Core, 8 Threads
770,"2 Core, 4 Threads",2 Core, 4 Threads
771,"8 Core, 16 Threads",8 Core, 16 Threads
772,"6 Core, 12 Threads",6 Core, 12 Threads
773,"10 Cores (2P + 8E), 12 Threads",10 Cores (2P + 8E), 12 Threads
774,"8 Core, 16 Threads",8 Core, 16 Threads
775,"8 Core, 16 Threads",8 Core, 16 Threads
776,"6 Core, 12 Threads",6 Core, 12 Threads
777,"4 Core, 8 Threads",4 Core, 8 Threads
778,"4 Core, 8 Threads",4 Core, 8 Threads
779,"6 Core, 12 Threads",6 Core, 12 Threads
780,"10 Cores (6P + 4E), 16 Threads",10 Cores (6P + 4E), 16 Threads
781,"6 Core (2P + 4E), 8 Threads",6 Core (2P + 4E), 8 Threads
782,"6 Core (2P + 4E), 8 Threads",6 Core (2P + 4E), 8 Threads
783,"12 Cores (4P + 8E), 16 Threads",12 Cores (4P + 8E), 16 Threads
784,"4 Core, 8 Threads",4 Core, 8 Threads
785,"8 Core, 8 Threads",8 Core, 8 Threads
786,"6 Core, 12 Threads",6 Core, 12 Threads
787,"8 Core, 16 Threads",8 Core, 16 Threads
788,"6 Core, 12 Threads",6 Core, 12 Threads
789,"10 Cores (6P + 4E), 16 Threads",10 Cores (6P + 4E), 16 Threads
790,"8 Core (4P + 4E), 12 Threads",8 Core (4P + 4E), 12 Threads
791,"10 Cores (2P + 8E), 12 Threads",10 Cores (2P + 8E), 12 Threads
792,"8 Core, 16 Threads",8 Core, 16 Threads
793,"8 Core, 16 Threads",8 Core, 16 Threads
794,"6 Core, 12 Threads",6 Core, 12 Threads
795,"6 Core, 12 Threads",6 Core, 12 Threads
796,"8 Core, 16 Threads",8 Core, 16 Threads
797,"12 Cores (4P + 8E), 16 Threads",12 Cores (4P + 8E), 16 Threads
798,"8 Core, 16 Threads",8 Core, 16 Threads
799,"12 Cores (4P + 8E), 16 Threads",12 Cores (4P + 8E), 16 Threads
800,"6 Core, 12 Threads",6 Core, 12 Threads
801,"8 Core, 16 Threads",8 Core, 16 Threads
802,"10 Cores (2P + 8E), 12 Threads",10 Cores (2P + 8E), 12 Threads
803,"6 Core, 12 Threads",6 Core, 12 Threads
804,"6 Core (2P + 4E), 8 Threads",6 Core (2P + 4E), 8 Threads
805,"12 Cores (4P + 8E), 16 Threads",12 Cores (4P + 8E), 16 Threads
806,"12 Cores (4P + 8E), 16 Threads",12 Cores (4P + 8E), 16 Threads
807,"12 Cores (4P + 8E), 16 Threads",12 Cores (4P + 8E), 16 Threads
808,"10 Cores (2P + 8E), 12 Threads",10 Cores (2P + 8E), 12 Threads
809,"14 Cores (6P + 8E), 20 Threads",14 Cores (6P + 8E), 20 Threads
810,"6 Core, 12 Threads",6 Core, 12 Threads
811,"6 Core, 12 Threads",6 Core, 12 Threads
812,"14 Cores (6P + 8E), 20 Threads",14 Cores (6P + 8E), 20 Threads
813,"12 Cores (4P + 8E), 16 Threads",12 Cores (4P + 8E), 16 Threads
814,"12 Cores (4P + 8E), 16 Threads",12 Cores (4P + 8E), 16 Threads
815,"14 Cores (6P + 8E), 20 Threads",14 Cores (6P + 8E), 20 Threads
816,"10 Cores (2P + 8E), 12 Threads",10 Cores (2P + 8E), 12 Threads
817,"12 Cores (4P + 8E), 16 Threads",12 Cores (4P + 8E), 16 Threads
818,"24 Cores (8P + 16E), 32 Threads",24 Cores (8P + 16E), 32 Threads
819,"10 Cores (2P + 8E), 12 Threads",10 Cores (2P + 8E), 12 Threads
820,"10 Cores (2P + 8E), 12 Threads",10 Cores (2P + 8E), 12 Threads
821,"8 Core, 16 Threads",8 Core, 16 Threads
822,"6 Core (2P + 4E), 8 Threads",6 Core (2P + 4E), 8 Threads
823,"12 Cores (4P + 8E), 16 Threads",12 Cores (4P + 8E), 16 Threads
824,"12 Cores (4P + 8E), 16 Threads",12 Cores (4P + 8E), 16 Threads
825,"8 Core, 16 Threads",8 Core, 16 Threads
826,"6 Core, 12 Threads",6 Core, 12 Threads
827,"2 Core, 2 Threads",2 Core, 2 Threads
828,"2 Core, 2 Threads",2 Core, 2 Threads
829,"6 Core (2P + 4E), 8 Threads",6 Core (2P + 4E), 8 Threads
830,"8 Core, 16 Threads",8 Core, 16 Threads
831,"10 Cores (2P + 8E), 12 Threads",10 Cores (2P + 8E), 12 Threads
832,"8 Core (4P + 4E), 12 Threads",8 Core (4P + 4E), 12 Threads
833,"8 Core, 16 Threads",8 Core, 16 Threads
834,"6 Core, 12 Threads",6 Core, 12 Threads
835,"8 Core, 16 Threads",8 Core, 16 Threads
836,"6 Core, 12 Threads",6 Core, 12 Threads
837,"6 Core, 12 Threads",6 Core, 12 Threads
838,"4 Core, 8 Threads",4 Core, 8 Threads
839,"2 Core, 4 Threads",2 Core, 4 Threads
840,"8 Core (4P + 4E), 12 Threads",8 Core (4P + 4E), 12 Threads
841,"10 Cores (6P + 4E), 16 Threads",10 Cores (6P + 4E), 16 Threads
842,"2 Core, 4 Threads",2 Core, 4 Threads
843,"10 Cores (2P + 8E), 12 Threads",10 Cores (2P + 8E), 12 Threads
844,"6 Core (2P + 4E), 8 Threads",6 Core (2P + 4E), 8 Threads
845,"4 Core, 8 Threads",4 Core, 8 Threads
846,"10 Cores (2P + 8E), 12 Threads",10 Cores (2P + 8E), 12 Threads
847,"6 Core (2P + 4E), 8 Threads",6 Core (2P + 4E), 8 Threads
848,"10 Cores (2P + 8E), 12 Threads",10 Cores (2P + 8E), 12 Threads
849,"4 Core, 8 Threads",4 Core, 8 Threads
850,"4 Core, 8 Threads",4 Core, 8 Threads
851,"10 Cores (2P + 8E), 12 Threads",10 Cores (2P + 8E), 12 Threads
852,"2 Core, 2 Threads",2 Core, 2 Threads
853,14 Cores (6P + 8E),14 Cores (6P + 8E),None
854,14 Cores (6P + 8E),14 Cores (6P + 8E),None
855,"10 Cores (2P + 8E), 12 Threads",10 Cores (2P + 8E), 12 Threads
856,"6 Core, 12 Threads",6 Core, 12 Threads
857,"14 Cores (6P + 8E), 20 Threads",14 Cores (6P + 8E), 20 Threads
858,"10 Cores (2P + 8E), 12 Threads",10 Cores (2P + 8E), 12 Threads
859,"16 Cores (8P + 8E), 24 Threads",16 Cores (8P + 8E), 24 Threads
860,"10 Cores (2P + 8E), 12 Threads",10 Cores (2P + 8E), 12 Threads
861,"4 Core, 4 Threads",4 Core, 4 Threads
862,8 Core (4P + 4E),8 Core (4P + 4E),None
863,"5 Cores (1P + 4E), 6 Threads",5 Cores (1P + 4E), 6 Threads
864,"14 Cores (6P + 8E), 20 Threads",14 Cores (6P + 8E), 20 Threads
865,"4 Core, 8 Threads",4 Core, 8 Threads
866,"2 Core, 2 Threads",2 Core, 2 Threads
867,"10 Cores (2P + 8E), 12 Threads",10 Cores (2P + 8E), 12 Threads
868,"10 Cores (2P + 8E), 12 Threads",10 Cores (2P + 8E), 12 Threads
869,"10 Cores (2P + 8E), 12 Threads",10 Cores (2P + 8E), 12 Threads
870,"10 Cores (2P + 8E), 12 Threads",10 Cores (2P + 8E), 12 Threads
871,"4 Core, 8 Threads",4 Core, 8 Threads
872,"10 Cores (2P + 8E), 12 Threads",10 Cores (2P + 8E), 12 Threads
873,"2 Core, 4 Threads",2 Core, 4 Threads
874,"14 Cores (6P + 8E), 20 Threads",14 Cores (6P + 8E), 20 Threads
875,"10 Cores (2P + 8E), 12 Threads",10 Cores (2P + 8E), 12 Threads
876,"6 Core, 12 Threads",6 Core, 12 Threads
877,"6 Core, 12 Threads",6 Core, 12 Threads
878,"6 Core, 12 Threads",6 Core, 12 Threads
879,"14 Cores (6P + 8E), 20 Threads",14 Cores (6P + 8E), 20 Threads
880,"12 Cores (4P + 8E), 16 Threads",12 Cores (4P + 8E), 16 Threads
881,"8 Core (4P + 4E), 12 Threads",8 Core (4P + 4E), 12 Threads
882,"10 Cores (6P + 4E), 16 Threads",10 Cores (6P + 4E), 16 Threads
883,"2 Core, 2 Threads",2 Core, 2 Threads
884,"6 Core, 12 Threads",6 Core, 12 Threads
885,"8 Core, 16 Threads",8 Core, 16 Threads
886,"2 Core, 4 Threads",2 Core, 4 Threads
887,"6 Core, 12 Threads",6 Core, 12 Threads
888,"8 Core, 16 Threads",8 Core, 16 Threads
889,"2 Core, 4 Threads",2 Core, 4 Threads
890,"8 Core, 16 Threads",8 Core, 16 Threads
891,14 Cores (6P + 8E),14 Cores (6P + 8E),None
892,"6 Core (2P + 4E), 8 Threads",6 Core (2P + 4E), 8 Threads
893,"12 Cores (4P + 8E), 16 Threads",12 Cores (4P + 8E), 16 Threads
894,"24 Cores (8P + 16E), 32 Threads",24 Cores (8P + 16E), 32 Threads
895,14 Cores (6P + 8E),14 Cores (6P + 8E),None
896,14 Cores (6P + 8E),14 Cores (6P + 8E),None
897,"10 Cores (6P + 4E), 16 Threads",10 Cores (6P + 4E), 16 Threads
898,"10 Cores (6P + 4E), 16 Threads",10 Cores (6P + 4E), 16 Threads
899,14 Cores (6P + 8E),14 Cores (6P + 8E),None
900,"12 Cores (4P + 8E), 16 Threads",12 Cores (4P + 8E), 16 Threads
901,"10 Cores (2P + 8E), 12 Threads",10 Cores (2P + 8E), 12 Threads
902,"10 Cores (2P + 8E), 12 Threads",10 Cores (2P + 8E), 12 Threads
903,"6 Core (2P + 4E), 8 Threads",6 Core (2P + 4E), 8 Threads
904,"10 Cores (2P + 8E), 12 Threads",10 Cores (2P + 8E), 12 Threads
905,"6 Core (2P + 4E), 8 Threads",6 Core (2P + 4E), 8 Threads
906,"10 Cores (2P + 8E), 12 Threads",10 Cores (2P + 8E), 12 Threads
907,"14 Cores (6P + 8E), 20 Threads",14 Cores (6P + 8E), 20 Threads
908,"8 Core, 16 Threads",8 Core, 16 Threads
909,"10 Cores (2P + 8E), 12 Threads",10 Cores (2P + 8E), 12 Threads
910,"8 Core (4P + 4E), 12 Threads",8 Core (4P + 4E), 12 Threads
911,"8 Core, 16 Threads",8 Core, 16 Threads
912,"10 Cores (2P + 8E), 12 Threads",10 Cores (2P + 8E), 12 Threads
913,"4 Core, 8 Threads",4 Core, 8 Threads
914,"8 Core, 16 Threads",8 Core, 16 Threads
