,Core_replaced,cores,thread
185,"12 Cores (4P + 8E), 16 Threads",12 Cores (4P + 8E), 16 Threads
186,"12 Cores (4P + 8E), 16 Threads",12 Cores (4P + 8E), 16 Threads
187,"4 Core, 8 Threads",4 Core, 8 Threads
188,"12 Cores (4P + 8E), 16 Threads",12 Cores (4P + 8E), 16 Threads
189,"6 Core (2P + 4E), 8 Threads",6 Core (2P + 4E), 8 Threads
190,"2 Core, 4 Threads",2 Core, 4 Threads
191,"8 Core, 16 Threads",8 Core, 16 Threads
192,"10 Cores (2P + 8E), 12 Threads",10 Cores (2P + 8E), 12 Threads
193,"6 Core (2P + 4E), 8 Threads",6 Core (2P + 4E), 8 Threads
194,"12 Cores (4P + 8E), 16 Threads",12 Cores (4P + 8E), 16 Threads
195,"12 Cores (4P + 8E), 16 Threads",12 Cores (4P + 8E), 16 Threads
196,"6 Core, 12 Threads",6 Core, 12 Threads
197,"14 Cores (6P + 8E), 20 Threads",14 Cores (6P + 8E), 20 Threads
198,"8 Core, 16 Threads",8 Core, 16 Threads
199,8 Core (4P + 4E),8 Core (4P + 4E),None
200,"10 Cores (2P + 8E), 12 Threads",10 Cores (2P + 8E), 12 Threads
201,"14 Cores (6P + 8E), 20 Threads",14 Cores (6P + 8E), 20 Threads
202,"4 Core, 8 Threads",4 Core, 8 Threads
203,"10 Cores (2P + 8E), 12 Threads",10 Cores (2P + 8E), 12 Threads
204,"10 Cores (2P + 8E), 12 Threads",10 Cores (2P + 8E), 12 Threads
205,"16 Cores (8P + 8E), 24 Threads",16 Cores (8P + 8E), 24 Threads
206,"14 Cores (6P + 8E), 20 Threads",14 Cores (6P + 8E), 20 Threads
207,"12 Cores (4P + 8E), 16 Threads",12 Cores (4P + 8E), 16 Threads
208,"8 Core, 16 Threads",8 Core, 16 Threads
209,"12 Cores (4P + 8E), 16 Threads",12 Cores (4P + 8E), 16 Threads
210,"12 Cores (4P + 8E), 16 Threads",12 Cores (4P + 8E), 16 Threads
211,"6 Core, 12 Threads",6 Core, 12 Threads
212,"10 Cores (2P + 8E), 12 Threads",10 Cores (2P + 8E), 12 Threads
213,"6 Core (2P + 4E), 8 Threads",6 Core (2P + 4E), 8 Threads
214,"8 Core (4P + 4E), 12 Threads",8 Core (4P + 4E), 12 Threads
215,"10 Cores (2P + 8E), 12 Threads",10 Cores (2P + 8E), 12 Threads
216,"6 Core (2P + 4E), 8 Threads",6 Core (2P + 4E), 8 Threads
217,"8 Core (4P + 4E), 12 Threads",8 Core (4P + 4E), 12 Threads
218,"4 Core, 8 Threads",4 Core, 8 Threads
219,"2 Core, 2 Threads",2 Core, 2 Threads
220,"8 Core (4P + 4E), 12 Threads",8 Core (4P + 4E), 12 Threads
221,"8 Core (4P + 4E), 12 Threads",8 Core (4P + 4E), 12 Threads
222,"8 Core, 16 Threads",8 Core, 16 Threads
223,"6 Core, 12 Threads",6 Core, 12 Threads
224,"6 Core (2P + 4E), 8 Threads",6 Core (2P + 4E), 8 Threads
225,"16 Cores (6P + 8E + 2LP-E), 22 Threads",16 Cores (6P + 8E + 2LP-E), 22 Threads
226,"8 Core, 16 Threads",8 Core, 16 Threads
227,"16 Cores (6P + 8E + 2LP-E), 22 Threads",16 Cores (6P + 8E + 2LP-E), 22 Threads
228,"14 Cores (4P + 8E + 2LP-E), 18 Threads",14 Cores (4P + 8E + 2LP-E), 18 Threads
229,"16 Cores (6P + 8E + 2LP-E), 22 Threads",16 Cores (6P + 8E + 2LP-E), 22 Threads
230,"24 Cores (8P + 16E), 32 Threads",24 Cores (8P + 16E), 32 Threads
231,"14 Cores (6P + 8E), 20 Threads",14 Cores (6P + 8E), 20 Threads
232,"6 Core, 12 Threads",6 Core, 12 Threads
233,"6 Core, 12 Threads",6 Core, 12 Threads
234,"6 Core, 12 Threads",6 Core, 12 Threads
235,"8 Core, 16 Threads",8 Core, 16 Threads
236,"16 Cores (6P + 8E + 2LP-E), 22 Threads",16 Cores (6P + 8E + 2LP-E), 22 Threads
237,"24 Cores (8P + 16E), 32 Threads",24 Cores (8P + 16E), 32 Threads
238,"2 Core, 2 Threads",2 Core, 2 Threads
239,"16 Cores (8P + 8E), 24 Threads",16 Cores (8P + 8E), 24 Threads
240,"4 Core, 8 Threads",4 Core, 8 Threads
241,"14 Cores (6P + 8E), 20 Threads",14 Cores (6P + 8E), 20 Threads
242,"14 Cores (6P + 8E), 20 Threads",14 Cores (6P + 8E), 20 Threads
243,"14 Cores (6P + 8E), 20 Threads",14 Cores (6P + 8E), 20 Threads
244,"8 Core (4P + 4E), 12 Threads",8 Core (4P + 4E), 12 Threads
245,"4 Core, 4 Threads",4 Core, 4 Threads
246,"10 Cores (2P + 8E), 12 Threads",10 Cores (2P + 8E), 12 Threads
247,"10 Cores (6P + 4E), 16 Threads",10 Cores (6P + 4E), 16 Threads
248,"16 Cores (6P + 8E + 2LP-E), 22 Threads",16 Cores (6P + 8E + 2LP-E), 22 Threads
249,"8 Core (4P + 4E), 12 Threads",8 Core (4P + 4E), 12 Threads
250,"16 Cores (6P + 8E + 2LP-E), 22 Threads",16 Cores (6P + 8E + 2LP-E), 22 Threads
251,"8 Core (4P + 4E), 12 Threads",8 Core (4P + 4E), 12 Threads
252,"2 Core, 4 Threads",2 Core, 4 Threads
253,"12 Cores (4P + 8E), 16 Threads",12 Cores (4P + 8E), 16 Threads
254,"16 Cores (6P + 8E + 2LP-E), 22 Threads",16 Cores (6P + 8E + 2LP-E), 22 Threads
255,"14 Cores (6P + 8E), 20 Threads",14 Cores (6P + 8E), 20 Threads
256,"10 Cores (6P + 4E), 16 Threads",10 Cores (6P + 4E), 16 Threads
257,"16 Cores (6P + 8E + 2LP-E), 22 Threads",16 Cores (6P + 8E + 2LP-E), 22 Threads
258,"16 Cores (6P + 8E + 2LP-E), 22 Threads",16 Cores (6P + 8E + 2LP-E), 22 Threads
259,"14 Cores (4P + 8E + 2LP-E), 18 Threads",14 Cores (4P + 8E + 2LP-E), 18 Threads
260,"16 Cores (6P + 8E + 2LP-E), 22 Threads",16 Cores (6P + 8E + 2LP-E), 22 Threads
261,"24 Cores (8P + 16E), 32 Threads",24 Cores (8P + 16E), 32 Threads
262,"6 Core, 12 Threads",6 Core, 12 Threads
263,"8 Core, 16 Threads",8 Core, 16 Threads
264,"14 Cores (4P + 8E + 2LP-E), 18 Threads",14 Cores (4P + 8E + 2LP-E), 18 Threads
265,"5 Cores (1P + 4E), 6 Threads",5 Cores (1P + 4E), 6 Threads
266,"10 Cores (2P + 8E), 12 Threads",10 Cores (2P + 8E), 12 Threads
267,"10 Cores (2P + 8E), 12 Threads",10 Cores (2P + 8E), 12 Threads
268,"14 Cores (4P + 8E + 2LP-E), 18 Threads",14 Cores (4P + 8E + 2LP-E), 18 Threads
269,"10 Cores (2P + 8E), 12 Threads",10 Cores (2P + 8E), 12 Threads
270,"14 Cores (4P + 8E + 2LP-E), 18 Threads",14 Cores (4P + 8E + 2LP-E), 18 Threads
271,"16 Cores (6P + 8E + 2LP-E), 22 Threads",16 Cores (6P + 8E + 2LP-E), 22 Threads
272,"4 Core, 8 Threads",4 Core, 8 Threads
273,"6 Core, 12 Threads",6 Core, 12 Threads
274,"6 Core (2P + 4E), 8 Threads",6 Core (2P + 4E), 8 Threads
275,"8 Core, 16 Threads",8 Core, 16 Threads
276,"10 Cores (2P + 8E), 12 Threads",10 Cores (2P + 8E), 12 Threads
277,14 Cores (6P + 8E),14 Cores (6P + 8E),None
278,"8 Core (4P + 4E), 12 Threads",8 Core (4P + 4E), 12 Threads
279,"14 Cores (6P + 8E), 20 Threads",14 Cores (6P + 8E), 20 Threads
280,"4 Core, 4 Threads",4 Core, 4 Threads
281,8 Core,8 Core,None
282,8 Core,8 Core,None
283,"10 Cores (6P + 4E), 16 Threads",10 Cores (6P + 4E), 16 Threads
284,"8 Core (4P + 4E), 12 Threads",8 Core (4P + 4E), 12 Threads
285,14 Cores (6P + 8E),14 Cores (6P + 8E),None
286,"6 Core, 12 Threads",6 Core, 12 Threads
287,"6 Core (2P + 4E), 8 Threads",6 Core (2P + 4E), 8 Threads
288,"6 Core, 12 Threads",6 Core, 12 Threads
289,"10 Cores (2P + 8E), 12 Threads",10 Cores (2P + 8E), 12 Threads
290,8 Core,8 Core,None
291,"8 Core (4P + 4E), 12 Threads",8 Core (4P + 4E), 12 Threads
292,"6 Core (2P + 4E), 8 Threads",6 Core (2P + 4E), 8 Threads
293,"6 Core, 12 Threads",6 Core, 12 Threads
294,"6 Core, 12 Threads",6 Core, 12 Threads
295,"16 Cores (6P + 8E + 2LP-E), 22 Threads",16 Cores (6P + 8E + 2LP-E), 22 Threads
296,"10 Cores (2P + 8E), 12 Threads",10 Cores (2P + 8E), 12 Threads
297,"16 Cores (6P + 8E + 2LP-E), 22 Threads",16 Cores (6P + 8E + 2LP-E), 22 Threads
298,"16 Cores (6P + 8E + 2LP-E), 22 Threads",16 Cores (6P + 8E + 2LP-E), 22 Threads
299,"20 Cores (8P + 12E), 28 Threads",20 Cores (8P + 12E), 28 Threads
300,"4 Core, 4 Threads",4 Core, 4 Threads
301,"4 Core, 8 Threads",4 Core, 8 Threads
302,"8 Core (4P + 4E), 12 Threads",8 Core (4P + 4E), 12 Threads
303,"5 Cores (1P + 4E), 6 Threads",5 Cores (1P + 4E), 6 Threads
304,"4 Core, 8 Threads",4 Core, 8 Threads
305,"6 Core, 12 Threads",6 Core, 12 Threads
306,"2 Core, 2 Threads",2 Core, 2 Threads
307,"5 Cores, 5 Threads",5 Cores, 5 Threads
308,"8 Core (4P + 4E), 12 Threads",8 Core (4P + 4E), 12 Threads
309,"10 Cores (6P + 4E), 16 Threads",10 Cores (6P + 4E), 16 Threads
310,"24 Cores (8P + 16E), 32 Threads",24 Cores (8P + 16E), 32 Threads
311,"6 Core, 12 Threads",6 Core, 12 Threads
312,"8 Core (4P + 4E), 12 Threads",8 Core (4P + 4E), 12 Threads
313,"2 Core, 4 Threads",2 Core, 4 Threads
314,"16 Cores (8P + 8E), 24 Threads",16 Cores (8P + 8E), 24 Threads
315,"16 Cores (6P + 8E + 2LP-E), 22 Threads",16 Cores (6P + 8E + 2LP-E), 22 Threads
