,Ram,memory_gb,memory_type
268,16GB LPDDR5 RAM,16GB,LPDDR5 
269,16GB LPDDR5x RAM,16GB,LPDDR5x
270,16GB LPDDR5X RAM,16GB,LPDDR5X
271,32GB LPDDR5x RAM,32GB,LPDDR5x
272,12GB LPDDR3 RAM,12GB,LPDDR3 
273,16GB DDR4 RAM,16GB,DDR4
274,16GB DDR4 RAM,16GB,DDR4
275,16GB DDR5 RAM,16GB,DDR5
276,16GB LPDDR4X RAM,16GB,LPDDR4X
277,16GB DDR5 RAM,16GB,DDR5
278,16GB LPDDR5 RAM,16GB,LPDDR5 
279,16GB LPDDR5 RAM,16GB,LPDDR5 
280,4GB LPDDR4X RAM,4GB,LPDDR4X
281,4GB LPDDR4X RAM,4GB,LPDDR4X
282,8GB LPDDR4X RAM,8GB,LPDDR4X
283,16GB DDR5 RAM,16GB,DDR5
284,16GB LPDDR5 RAM,16GB,LPDDR5 
285,16GB DDR5 RAM,16GB,DDR5
286,16GB DDR4 RAM,16GB,DDR4
287,8GB DDR5 RAM,8GB,DDR5
288,8GB DDR4 RAM,8GB,DDR4
289,8GB DDR4 RAM,8GB,DDR4
290,8GB LPDDR4X RAM,8GB,LPDDR4X
291,8GB DDR5 RAM,8GB,DDR5
292,8GB DDR4 RAM,8GB,DDR4
293,16GB DDR4 RAM,16GB,DDR4
294,8GB DDR4 RAM,8GB,DDR4
295,32GB LPDDR5x RAM,32GB,LPDDR5x
296,16GB DDR4 RAM,16GB,DDR4
297,32GB LPDDR5x RAM,32GB,LPDDR5x
298,32GB LPDDR5x RAM,32GB,LPDDR5x
299,16GB DDR5 RAM,16GB,DDR5
300,8GB LPDDR5 RAM,8GB,LPDDR5 
301,16GB DDR4 RAM,16GB,DDR4
302,16GB DDR5 SDRAM RAM,16GB,DDR5
303,8GB LPDDR5 RAM,8GB,LPDDR5 
304,16GB DDR4 RAM,16GB,DDR4
305,8GB DDR4 RAM,8GB,DDR4
306,8GB DDR4 RAM,8GB,DDR4
307,8GB LPDDR4X RAM,8GB,LPDDR4X
308,16GB LPDDR5 RAM,16GB,LPDDR5 
309,16GB DDR5 RAM,16GB,DDR5
310,16GB DDR5 RAM,16GB,DDR5
311,8GB LPDDR5 RAM,8GB,LPDDR5 
312,16GB LPDDR5 RAM,16GB,LPDDR5 
313,8GB LPDDR4X RAM,8GB,LPDDR4X
314,16GB DDR5 RAM,16GB,DDR5
315,16GB LPDDR5 RAM,16GB,LPDDR5 
316,8GB LPDDR4 RAM,8GB,LPDDR4 
317,16GB LPDDR5X RAM,16GB,LPDDR5X
318,32GB LPDDR5x RAM,32GB,LPDDR5x
319,8GB DDR4 RAM,8GB,DDR4
320,8GB DDR4 RAM,8GB,DDR4
321,16GB DDR4 RAM,16GB,DDR4
322,8GB DDR4 RAM,8GB,DDR4
323,16GB DDR4 RAM,16GB,DDR4
324,8GB LPDDR5 RAM,8GB,LPDDR5 
325,16GB DDR5 RAM,16GB,DDR5
326,16GB DDR4 RAM,16GB,DDR4
327,16GB LPDDR5X RAM,16GB,LPDDR5X
328,16GB DDR4 RAM,16GB,DDR4
329,16GB  RAM,16GB,None
330,8GB LPDDR5 RAM,8GB,LPDDR5 
331,8GB DDR4 RAM,8GB,DDR4
332,8GB LPDDR5 RAM,8GB,LPDDR5 
333,16GB DDR4 RAM,16GB,DDR4
334,16GB DDR4 RAM,16GB,DDR4
335,16GB LPDDR5 RAM,16GB,LPDDR5 
336,8GB LPDDR5 RAM,8GB,LPDDR5 
337,16GB LPDDR5 RAM,16GB,LPDDR5 
338,16GB LPDDR5 RAM,16GB,LPDDR5 
339,8GB  RAM,8GB,None
340,8GB DDR4 RAM,8GB,DDR4
341,8GB DDR4 RAM,8GB,DDR4
342,8GB DDR4 RAM,8GB,DDR4
343,64GB DDR5 RAM,64GB,DDR5
344,8GB LPDDR5 RAM,8GB,LPDDR5 
345,16GB DDR4 RAM,16GB,DDR4
346,16GB DDR4 RAM,16GB,DDR4
347,16GB LPDDR5 RAM,16GB,LPDDR5 
348,8GB  RAM,8GB,None
349,16GB DDR4 RAM,16GB,DDR4
350,8GB DDR4 RAM,8GB,DDR4
351,8GB DDR4 RAM,8GB,DDR4
352,36GB  RAM,36GB,None
353,8GB  RAM,8GB,None
354,18GB  RAM,18GB,None
355,18GB  RAM,18GB,None
356,36GB  RAM,36GB,None
357,8GB DDR4 RAM,8GB,DDR4
358,16GB DDR4 RAM,16GB,DDR4
359,16GB LPDDR5 RAM,16GB,LPDDR5 
360,8GB DDR5 RAM,8GB,DDR5
361,8GB DDR4 RAM,8GB,DDR4
362,8GB DDR4 RAM,8GB,DDR4
363,8GB DDR4 RAM,8GB,DDR4
364,16GB LPDDR4X RAM,16GB,LPDDR4X
365,16GB DDR5 RAM,16GB,DDR5
366,16GB DDR4 RAM,16GB,DDR4
367,8GB DDR4 RAM,8GB,DDR4
368,8GB DDR4 RAM,8GB,DDR4
369,8GB DDR4 RAM,8GB,DDR4
370,8GB DDR4  RAM,8GB,DDR4
371,16GB DDR4 RAM,16GB,DDR4
372,8GB LPDDR4X RAM,8GB,LPDDR4X
373,8GB LPDDR5 RAM,8GB,LPDDR5 
374,16GB LPDDR5 RAM,16GB,LPDDR5 
375,8GB DDR4 RAM,8GB,DDR4
376,16GB DDR4 RAM,16GB,DDR4
377,8GB LPDDR5 RAM,8GB,LPDDR5 
378,8GB DDR4 RAM,8GB,DDR4
379,8GB DDR5 RAM,8GB,DDR5
380,16GB DDR4 RAM,16GB,DDR4
381,16GB DDR4 RAM,16GB,DDR4
382,16GB DDR4 RAM,16GB,DDR4
383,16GB DDR4 RAM,16GB,DDR4
384,16GB DDR5 RAM,16GB,DDR5
385,16GB DDR4 RAM,16GB,DDR4
386,16GB DDR5 RAM,16GB,DDR5
387,16GB LPDDR5 RAM,16GB,LPDDR5 
388,16GB LPDDR5 RAM,16GB,LPDDR5 
389,8GB LPDDR5 RAM,8GB,LPDDR5 
390,16GB DDR4 RAM,16GB,DDR4
391,16GB DDR5 RAM,16GB,DDR5
392,16GB DDR4 RAM,16GB,DDR4
393,16GB DDR4 RAM,16GB,DDR4
394,16GB DDR4 RAM,16GB,DDR4
395,8GB DDR4 RAM,8GB,DDR4
396,8GB LPDDR5 RAM,8GB,LPDDR5 
397,8GB DDR4 RAM,8GB,DDR4
398,16GB DDR4 RAM,16GB,DDR4
399,16GB DDR4 RAM,16GB,DDR4
400,8GB DDR4 RAM,8GB,DDR4
401,16GB LPDDR5 RAM,16GB,LPDDR5 
402,8GB DDR4 RAM,8GB,DDR4
403,8GB DDR4 RAM,8GB,DDR4
404,16GB DDR4 RAM,16GB,DDR4
405,16GB LPDDR5 RAM,16GB,LPDDR5 
406,16GB DDR4 RAM,16GB,DDR4
407,8GB LPDDR4X RAM,8GB,LPDDR4X
408,8GB DDR4 RAM,8GB,DDR4
409,8GB LPDDR5 RAM,8GB,LPDDR5 
410,8GB DDR4 RAM,8GB,DDR4
411,4GB DDR4 RAM,4GB,DDR4
412,8GB DDR4 RAM,8GB,DDR4
413,8GB DDR4 RAM,8GB,DDR4
414,32GB DDR5 RAM,32GB,DDR5
415,4GB LPDDR4 RAM,4GB,LPDDR4 
416,16GB DDR5 RAM,16GB,DDR5
417,8GB DDR4 RAM,8GB,DDR4
418,16GB DDR4 RAM,16GB,DDR4
419,8GB DDR4 RAM,8GB,DDR4
420,8GB DDR5 RAM,8GB,DDR5
421,8GB DDR4 RAM,8GB,DDR4
422,16GB LPDDR5x RAM,16GB,LPDDR5x
423,16GB DDR5 RAM,16GB,DDR5
424,16GB DDR5 RAM,16GB,DDR5
425,16GB LPDDR5X RAM,16GB,LPDDR5X
426,16GB LPDDR5 RAM,16GB,LPDDR5 
427,16GB LPDDR5 RAM,16GB,LPDDR5 
428,8GB DDR4 RAM,8GB,DDR4
429,16GB DDR4 RAM,16GB,DDR4
430,16GB LPDDR4X RAM,16GB,LPDDR4X
431,8GB DDR4 RAM,8GB,DDR4
432,8GB DDR4 RAM,8GB,DDR4
433,8GB DDR4 RAM,8GB,DDR4
434,8GB LPDDR5  RAM,8GB,LPDDR5 
435,16GB LPDDR5X RAM,16GB,LPDDR5X
436,8GB LPDDR5 RAM,8GB,LPDDR5 
437,16GB DDR5 RAM,16GB,DDR5
438,32GB DDR5 RAM,32GB,DDR5
439,16GB DDR4 RAM,16GB,DDR4
440,16GB DDR4 RAM,16GB,DDR4
441,16GB LPDDR5 RAM,16GB,LPDDR5 
442,16GB DDR5 RAM,16GB,DDR5
443,64GB DDR5 RAM,64GB,DDR5
444,16GB LPDDR5 RAM,16GB,LPDDR5 
445,16GB LPDDR5 RAM,16GB,LPDDR5 
446,8GB DDR4  RAM,8GB,DDR4
447,8GB DDR4 RAM,8GB,DDR4
448,16GB DDR4 RAM,16GB,DDR4
449,4GB LPDDR4 RAM,4GB,LPDDR4 
450,8GB DDR4 RAM,8GB,DDR4
451,4GB LPDDR4X RAM,4GB,LPDDR4X
452,16GB LPDDR4X RAM,16GB,LPDDR4X
453,16GB DDR4 RAM,16GB,DDR4
454,16GB DDR5 RAM,16GB,DDR5
455,8GB DDR4 RAM,8GB,DDR4
456,16GB DDR5 RAM,16GB,DDR5
457,8GB LPDDR5 RAM,8GB,LPDDR5 
458,16GB DDR4 RAM,16GB,DDR4
459,16GB DDR4 RAM,16GB,DDR4
460,8GB DDR4 RAM,8GB,DDR4
461,16GB DDR4 RAM,16GB,DDR4
462,16GB DDR4 RAM,16GB,DDR4
463,16GB DDR4 RAM,16GB,DDR4
464,8GB LPDDR5 RAM,8GB,LPDDR5 
465,16GB DDR4 RAM,16GB,DDR4
466,8GB DDR4 RAM,8GB,DDR4
467,8GB  RAM,8GB,None
468,8GB DDR4 RAM,8GB,DDR4
469,4GB DDR4 RAM,4GB,DDR4
470,8GB LPDDR5 RAM,8GB,LPDDR5 
471,8GB DDR4 RAM,8GB,DDR4
472,8GB LPDDR5 RAM,8GB,LPDDR5 
473,16GB DDR4 RAM,16GB,DDR4
474,8GB DDR4 RAM,8GB,DDR4
475,32GB DDR5 RAM,32GB,DDR5
476,8GB DDR4 RAM,8GB,DDR4
477,16GB DDR5 RAM,16GB,DDR5
478,16GB DDR5 RAM,16GB,DDR5
479,32GB DDR5 RAM,32GB,DDR5
480,8GB LPDDR5 RAM,8GB,LPDDR5 
481,8GB DDR4 RAM,8GB,DDR4
482,16GB LPDDR4X RAM,16GB,LPDDR4X
483,16GB DDR4 RAM,16GB,DDR4
484,8GB DDR4 RAM,8GB,DDR4
485,16GB DDR5 RAM,16GB,DDR5
486,16GB DDR5  RAM,16GB,DDR5
487,16GB DDR4 RAM,16GB,DDR4
488,8GB DDR4 RAM,8GB,DDR4
489,16GB LPDDR4X RAM,16GB,LPDDR4X
490,8GB DDR4 RAM,8GB,DDR4
491,16GB DDR4 RAM,16GB,DDR4
492,16GB LPDDR4X RAM,16GB,LPDDR4X
493,16GB DDR4 RAM,16GB,DDR4
494,8GB DDR4 RAM,8GB,DDR4
495,16GB LPDDR5 RAM,16GB,LPDDR5 
496,8GB DDR4 RAM,8GB,DDR4
497,16GB DDR5 RAM,16GB,DDR5
498,8GB DDR4 RAM,8GB,DDR4
499,16GB DDR5 RAM,16GB,DDR5
500,16GB DDR4 RAM,16GB,DDR4
501,16GB DDR4 RAM,16GB,DDR4
502,16GB DDR4 RAM,16GB,DDR4
503,8GB  RAM,8GB,None
504,16GB  LPDDR5 RAM,16GB,LPDDR5 
505,8GB LPDDR5 RAM,8GB,LPDDR5 
506,16GB DDR5 RAM,16GB,DDR5
507,8GB DDR5 RAM,8GB,DDR5
508,16GB LPDDR5 RAM,16GB,LPDDR5 
509,8GB DDR4 RAM,8GB,DDR4
510,16GB DDR5 RAM,16GB,DDR5
511,8GB DDR4 RAM,8GB,DDR4
512,16GB DDR5 RAM,16GB,DDR5
513,16GB DDR4 RAM,16GB,DDR4
514,16GB DDR4 RAM,16GB,DDR4
515,16GB DDR4 RAM,16GB,DDR4
516,16GB DDR4- RAM,16GB,DDR4
517,8GB DDR5 SDRAM RAM,8GB,DDR5
518,8GB DDR4 RAM,8GB,DDR4
519,16GB LPDDR5 RAM,16GB,LPDDR5 
520,8GB DDR5 RAM,8GB,DDR5
521,8GB DDR4 RAM,8GB,DDR4
522,16GB  RAM,16GB,None
523,16GB DDR5 RAM,16GB,DDR5
524,16GB DDR4 RAM,16GB,DDR4
525,8GB DDR4 RAM,8GB,DDR4
526,16GB DDR4 RAM,16GB,DDR4
527,16GB DDR4 RAM,16GB,DDR4
528,16GB DDR4 RAM,16GB,DDR4
529,16GB LPDDR5 RAM,16GB,LPDDR5 
530,8GB DDR4 RAM,8GB,DDR4
531,16GB LPDDR5 RAM,16GB,LPDDR5 
532,16GB DDR4 RAM,16GB,DDR4
533,8GB  RAM,8GB,None
534,16GB  RAM,16GB,None
535,8GB DDR5 RAM,8GB,DDR5
536,8GB DDR4 RAM,8GB,DDR4
537,8GB DDR4 RAM,8GB,DDR4
538,8GB DDR4 RAM,8GB,DDR4
539,32GB DDR5 RAM,32GB,DDR5
540,16GB DDR5 RAM,16GB,DDR5
541,8GB DDR4 RAM,8GB,DDR4
542,8GB DDR4 RAM,8GB,DDR4
543,16GB DDR4 RAM,16GB,DDR4
544,4GB LPDDR4X RAM,4GB,LPDDR4X
545,4GB LPDDR4X RAM,4GB,LPDDR4X
546,8GB DDR4 RAM,8GB,DDR4
547,16GB DDR5 RAM,16GB,DDR5
548,16GB DDR4 RAM,16GB,DDR4
549,8GB DDR5 RAM,8GB,DDR5
550,8GB LPDDR4x RAM,8GB,LPDDR4x
551,16GB DDR4 RAM,16GB,DDR4
552,16GB LPDDR5 RAM,16GB,LPDDR5 
553,16GB DDR4 RAM,16GB,DDR4
554,16GB LPDDR5 RAM,16GB,LPDDR5 
555,16GB DDR5 RAM,16GB,DDR5
556,16GB DDR4 RAM,16GB,DDR4
557,8GB LPDDR5 RAM,8GB,LPDDR5 
558,16GB LPDDR5 RAM,16GB,LPDDR5 
559,8GB DDR4 RAM,8GB,DDR4
560,16GB DDR4 RAM,16GB,DDR4
561,16GB DDR4 RAM,16GB,DDR4
562,16GB DDR4 RAM,16GB,DDR4
563,16GB DDR4 RAM,16GB,DDR4
