,Generation,brand,gen,model,Model_Number
620,13th Gen Intel Core i9 13900H,Intel,13th,i9,13900H
621,12th Gen Intel Core i7 12650H,Intel,12th,i7,12650H
622,13th Gen Intel Core i7 13700H,Intel,13th,i7,13700H
623,7th Gen AMD Ryzen 7 7840HS,AMD,7th,Ryzen 7,7840HS
624,13th Gen Intel Core i9 13900HX,Intel,13th,i9,13900HX
625,13th Gen Intel Core i7 13700H,Intel,13th,i7,13700H
626,13th Gen Intel Core i5 13500H,Intel,13th,i5,13500H
627,5th Gen AMD Ryzen 5  5600H ,AMD,5th,Ryzen 5,5600H
628,7th Gen AMD Ryzen 5 7530U,AMD,7th,Ryzen 5,7530U
629,12th Gen Intel Core i3 1215U,Intel,12th,i3,1215U
630,12th Gen Intel Core i3 1215U,Intel,12th,i3,1215U
631,13th Gen Intel Core i7 1365U,Intel,13th,i7,1365U
632,10th Gen Intel Core i5 10210U,Intel,10th,i5,10210U
633,12th Gen Intel Core i7 1250U,Intel,12th,i7,1250U
634,7th Gen AMD Ryzen 5 7520U,AMD,7th,Ryzen 5,7520U
635,13th Gen Intel Core i5 13420H,Intel,13th,i5,13420H
636,13th Gen Intel Core i5 13500H,Intel,13th,i5,13500H
637,12th Gen Intel Core i7 12650H,Intel,12th,i7,12650H
638,13th Gen Intel Core i9 13900HX,Intel,13th,i9,13900HX
639,5th Gen AMD Ryzen 5  5600H,AMD,5th,Ryzen 5,5600H
640,11th Gen Intel Core i3 1115G4,Intel,11th,i3,1115G4
641,5th Gen AMD Ryzen 5 5600H,AMD,5th,Ryzen 5,5600H
642,5th Gen AMD Ryzen 7 5800H,AMD,5th,Ryzen 7,5800H
643,13th Gen Intel Core i7 13700H,Intel,13th,i7,13700H
644,12th Gen Intel Core i7 12650H,Intel,12th,i7,12650H
645,13th Gen Intel Core i5 13420H,Intel,13th,i5,13420H
646,12th Gen Intel Core i5 12450H,Intel,12th,i5,12450H
647,13th Gen Intel Core i5 1335U,Intel,13th,i5,1335U
648,12th Gen Intel Core i5 12450H,Intel,12th,i5,12450H
649,12th Gen Intel Core i5 12450H,Intel,12th,i5,12450H
650,11th Gen Intel Core i3 1115G4,Intel,11th,i3,1115G4
651,7th Gen AMD Ryzen 7 7840HS,AMD,7th,Ryzen 7,7840HS
652,13th Gen Intel Core i9 13980HX,Intel,13th,i9,13980HX
653,12th Gen Intel Core i5 1235U,Intel,12th,i5,1235U
654,13th Gen Intel Core i7 13620H,Intel,13th,i7,13620H
655,7th Gen AMD Ryzen 7 7840HS,AMD,7th,Ryzen 7,7840HS
656,13th Gen Intel Core i7 13700HX,Intel,13th,i7,13700HX
657,13th Gen Intel Core i9 13980HX,Intel,13th,i9,13980HX
658,7th Gen AMD Ryzen 7 7840HS,AMD,7th,Ryzen 7,7840HS
659,13th Gen Intel Core i7 13700HX,Intel,13th,i7,13700HX
660,11th Gen Intel Core i7 1195G7,Intel,11th,i7,1195G7
661,11th Gen Intel Core i3 1115G4,Intel,11th,i3,1115G4
662,12th Gen Intel Core i5 12450H,Intel,12th,i5,12450H
663,13th Gen Intel Core i5 13420H,Intel,13th,i5,13420H
664,5th Gen AMD Ryzen 5 5500U,AMD,5th,Ryzen 5,5500U
665,13th Gen Intel Core i7 13700H,Intel,13th,i7,13700H
666,13th Gen Intel Core i7 1355U,Intel,13th,i7,1355U
667,13th Gen Intel Core i7 1360P,Intel,13th,i7,1360P
668,13th Gen Intel Core i5 1340P,Intel,13th,i5,1340P
669,11th Gen Intel Core i5 11320H,Intel,11th,i5,11320H
670,12th Gen Intel Core i3 1215U,Intel,12th,i3,1215U
671,12th Gen Intel Core i7 12700H,Intel,12th,i7,12700H
672,13th Gen Intel Core i9 13900H,Intel,13th,i9,13900H
673,13th Gen Intel Core i7 13700HX,Intel,13th,i7,13700HX
674,13th Gen Intel Core i7 13700H,Intel,13th,i7,13700H
675,5th Gen AMD Ryzen 7 5825U,AMD,5th,Ryzen 7,5825U
676,13th Gen Intel Core i9 13900HX,Intel,13th,i9,13900HX
677,13th Gen Intel Core i9 13900HK,Intel,13th,i9,13900HK
678,12th Gen Intel Core i5 1240P,Intel,12th,i5,1240P
679,12th Gen Intel Core i3 1215U,Intel,12th,i3,1215U
680,11th Gen Intel Core i3 1115G4,Intel,11th,i3,1115G4
681,7th Gen Amd Ryzen 7 7745HX,Amd,7th,Ryzen 7,7745HX
682,13th Gen Intel Core i9 13980HX,Intel,13th,i9,13980HX
683,7th Gen AMD Ryzen 5 7530U,AMD,7th,Ryzen 5,7530U
684,12th Gen Intel Core i3 1215U,Intel,12th,i3,1215U
685,13th Gen Intel Core i5 1340P,Intel,13th,i5,1340P
686,12th Gen Intel Core i7 12700H,Intel,12th,i7,12700H
687,13th Gen Intel Core i5 1335U,Intel,13th,i5,1335U
688,7th Gen Amd Ryzen 9 7845HX,Amd,7th,Ryzen 9,7845HX
689,7th Gen AMD Ryzen 7 7840HS,AMD,7th,Ryzen 7,7840HS
690,12th Gen Intel Core i5 12500H,Intel,12th,i5,12500H
691,12th Gen Intel Core i3 1215U,Intel,12th,i3,1215U
692,12th Gen Intel Core i7 12650H,Intel,12th,i7,12650H
693,7th Gen AMD Ryzen 5 7520U,AMD,7th,Ryzen 5,7520U
694,12th Gen Intel Core i7 12650H ,Intel,12th,i7,12650H
695,7th Gen AMD Ryzen 5 7530U,AMD,7th,Ryzen 5,7530U
696,5th Gen AMD Ryzen 5  5600H,AMD,5th,Ryzen 5,5600H
697,11th Gen Intel Core i5 1155G7,Intel,11th,i5,1155G7
698,12th Gen Intel Core i5 1235U,Intel,12th,i5,1235U
699,11th Gen Intel Core i5 1155G7,Intel,11th,i5,1155G7
700,13th Gen Intel Core i7 1360P,Intel,13th,i7,1360P
701,5th Gen AMD Ryzen 7 5800H,AMD,5th,Ryzen 7,5800H
702,12th Gen Intel Core i5 1240P,Intel,12th,i5,1240P
703,12th Gen Intel Core i5 1235U,Intel,12th,i5,1235U
704,12th Gen Intel Core i9 12900H,Intel,12th,i9,12900H
705,12th Gen Intel Core i9 12900H,Intel,12th,i9,12900H
706,12th Gen Intel Core i5 1235U,Intel,12th,i5,1235U
707,12th Gen Intel Core i5 1235U,Intel,12th,i5,1235U
708,12th Gen Intel Core i7 12700H ,Intel,12th,i7,12700H
709,12th Gen Intel Core i9 12900H,Intel,12th,i9,12900H
710,Intel Pentium Silver   N6000 ,Intel,None,Pentium,N6000
711,12th Gen Intel Core i7 12700H ,Intel,12th,i7,12700H
712,7th Gen AMD Ryzen 5 7530U,AMD,7th,Ryzen 5,7530U
713,13th Gen Intel Core i7 1360P,Intel,13th,i7,1360P
714,12th Gen Intel Core i7 12700H ,Intel,12th,i7,12700H
715,Intel Celeron  N4020 ,Intel,None,Celeron,N4020
716,12th Gen Intel Core i5 12450H,Intel,12th,i5,12450H
717,12th Gen Intel Core i7 12650H,Intel,12th,i7,12650H
718,6th Gen AMD Ryzen 7  7735HS,AMD,6th,Ryzen 7,7735HS
719,13th Gen Intel Core i7 1360P,Intel,13th,i7,1360P
720,13th Gen Intel Core i5 1335U,Intel,13th,i5,1335U
721,3rd Gen AMD Ryzen 3  3250U,AMD,3rd,Ryzen 3,3250U
722,13th Gen Intel Core i5 1335U,Intel,13th,i5,1335U
723,13th Gen Intel Core i5 1340P,Intel,13th,i5,1340P
724,13th Gen Intel Core i5 1335U,Intel,13th,i5,1335U
725,13th Gen Intel Core i7 1360P,Intel,13th,i7,1360P
726,13th Gen Intel Core i7 13700H,Intel,13th,i7,13700H
727,12th Gen Intel Core i5 1235U,Intel,12th,i5,1235U
728,12th Gen Intel Core i5 12450H ,Intel,12th,i5,12450H
729,7th Gen AMD Ryzen 3 7330U,AMD,7th,Ryzen 3,7330U
730,11th Gen Intel Core i5 11320H,Intel,11th,i5,11320H
731,11th Gen Intel Core i5 11260H,Intel,11th,i5,11260H
732,7th Gen AMD Ryzen 3 7330U,AMD,7th,Ryzen 3,7330U
733,11th Gen Intel Core i7 1165G7 ,Intel,11th,i7,1165G7
734,5th Gen AMD Ryzen 5 5600H,AMD,5th,Ryzen 5,5600H
735,7th Gen AMD Ryzen 5 7530U,AMD,7th,Ryzen 5,7530U
736,13th Gen Intel Core i5 1335U,Intel,13th,i5,1335U
737,4th Gen Intel Celeron N4020,Intel,4th,Celeron,N4020
738,13th Gen Intel Core i5 1335U,Intel,13th,i5,1335U
739,7th Gen AMD Ryzen 5 7530U,AMD,7th,Ryzen 5,7530U
740,13th Gen Intel Core i3 1305U,Intel,13th,i3,1305U
741,13th Gen Intel Core i5 1335U,Intel,13th,i5,1335U
742,13th Gen Intel Core i5 1335U,Intel,13th,i5,1335U
743,7th Gen AMD Ryzen 5 7530U,AMD,7th,Ryzen 5,7530U
744,7th Gen AMD Ryzen 7 7730U,AMD,7th,Ryzen 7,7730U
745,11th Gen Intel Core i3 1115G4,Intel,11th,i3,1115G4
