,Generation,brand,gen,model,Model_Number
900,12th Gen Intel Core i5 12500H,Intel,12th,i5,12500H
901,13th Gen Intel Core i5 1335U,Intel,13th,i5,1335U
902,13th Gen Intel Core i7 1355U ,Intel,13th,i7,1355U
903,13th Gen Intel Core i3 1315U,Intel,13th,i3,1315U
904,13th Gen Intel Core i5 1335U,Intel,13th,i5,1335U
905,13th Gen Intel Core i3 1315U,Intel,13th,i3,1315U
906,13th Gen Intel Core i5 1335U,Intel,13th,i5,1335U
907,13th Gen Intel Core i7 13700H,Intel,13th,i7,13700H
908,7th Gen AMD Ryzen 9 7940HS,AMD,7th,Ryzen 9,7940HS
909,12th Gen Intel Core i5 1230U,Intel,12th,i5,1230U
910,12th Gen Intel Core i5 12450H,Intel,12th,i5,12450H
911,7th Gen AMD Ryzen 9 7940HS,AMD,7th,Ryzen 9,7940HS
912,13th Gen Intel Core i7 1355U,Intel,13th,i7,1355U
913,11th Gen Intel Core i5 1135G7,Intel,11th,i5,1135G7
914,5th Gen AMD Ryzen 7 5800H,AMD,5th,Ryzen 7,5800H
